0 0 0
1  4529 1831.84333391
2  6174 501.573524022
3  6082 524.517873861
4  5971 542.785408794
5  5859 450.141088993
6  6060 522.745636041
7  6007 526.931684377
8  5985 514.018482158
9  6043 543.416966978
10  5930 453.030904023
11  6036 564.404996434
12  6063 546.069592634
13  6030 523.923658561
14  6054 560.271362823
15  5998 539.685093365
16  6060 526.11975823
17  6048 517.479468192
18  6020 529.404382301
19  6058 554.765716316
20  6016 532.625572049
21  6027 539.484012738
22  6017 520.549709442
23  6007 550.599673084
24  6023 498.262982771
25  5983 545.421855081
26  6012 562.385099376
27  6042 548.953549948
28  6046 543.696606574
29  6030 566.798906139
30  5964 497.166973963
31  6024 546.191358408
32  5995 524.649406747
33  6029 548.556286993
34  6014 507.740090991
35  5972 492.686512907
36  6014 535.016822165
37  5939 520.0
38  5982 538.341898797
39  6009 550.679580155
40  5942 501.828656017
41  6041 574.742551061
42  6050 561.643125125
43  6039 537.978624111
44  6027 573.750816993
45  5946 493.682083937
46  5985 492.537308232
47  6026 554.710735429
48  6044 541.674256357
49  5985 566.348832435
50  6005 560.47479872
51  6003 529.26741823
52  6052 557.200143575
53  6055 575.119118096
54  6026 546.376243993
55  6008 525.65292732
56  6032 549.422424005
57  5963 594.754571231
58  5973 607.259417383
59  6041 576.197882676
60  6323 812.564458982
