0 0 0 0
2 1.4012 0.894338 1.35
5 2.01252 1.6896 1.35
10 3.22638 2.35946 2.26
15 4.16742 3.4646 3.38
20 5.53911 4.73067 4.51
25 6.22605 4.88973 5.64
30 7.13489 5.02 6.77
35 8.21953 4.61359 7.89
40 9.03918 4.44635 9.02
45 10.1535 4.51032 10.15
50 11.0178 4.44039 11.28
60 13.3612 4.54986 13.53
70 14.9625 4.48885 15.79
80 16.9477 4.71353 18.04
90 18.7632 4.91296 20.30
100 20.5791 4.53292 22.55
120 25.2408 7.15043 27.06
140 28.6888 5.06115 31.57
160 31.9653 5.23681 36.08
180 35.5091 5.6323 40.60
200 39.4172 5.91763 45.11
