0 0 0 0 0
2 1.4012 0.894338 1.35 2.54
5 2.01252 1.6896 1.35 2.54
10 3.22638 2.35946 2.26 4.23
15 4.16742 3.4646 3.38 4.23
20 5.53911 4.73067 4.51 4.23 
25 6.22605 4.88973 5.64 5.29
30 7.13489 5.02 6.77 6.34
35 8.21953 4.61359 7.89 7.40
40 9.03918 4.44635 9.02 8.46
45 10.1535 4.51032 10.15 9.51
50 11.0178 4.44039 11.28 10.57
60 13.3612 4.54986 13.53 12.69
70 14.9625 4.48885 15.79 14.80
80 16.9477 4.71353 18.04 16.91
90 18.7632 4.91296 20.30 19.03
100 20.5791 4.53292 22.55 21.14
120 25.2408 7.15043 27.06 25.37
140 28.6888 5.06115 31.57 29.60
160 31.9653 5.23681 36.08 33.83
180 35.5091 5.6323 40.60 38.06
200 39.4172 5.91763 45.11 42.29
