0 0 0
1  1510 616.726033178
2  2056 178.061787029
3  2027 176.008522521
4  1993 183.507493035
5  1951 154.136303316
6  2020 188.941789978
7  2001 181.027622202
8  1994 178.0
9  2017 187.840357751
10  1974 162.428445785
11  2012 192.197814764
12  2019 186.660118933
13  2011 176.943493805
14  2020 194.195777503
15  1997 194.296165685
16  2020 177.039543605
17  2017 178.40123318
18  2006 183.537462116
19  2020 184.521001515
20  2004 183.956516601
21  2009 184.333936105
22  2004 186.14510469
23  2001 193.600103306
24  2011 177.642900224
25  1991 191.895805061
26  2005 193.532942932
27  2013 197.43859805
28  2014 191.415777824
29  2010 200.102473748
30  1990 172.875677873
31  2006 193.25371924
32  1998 177.203273107
33  2009 188.639868533
34  2003 175.157072366
35  1991 177.208916254
36  2005 185.464282276
37  1979 186.26862323
38  1994 187.525998198
39  2002 184.358346706
40  1982 168.522995464
41  2012 194.231820256
42  2018 195.688528023
43  2014 187.997340407
44  2008 195.969385364
45  1979 171.029237267
46  1995 165.357189139
47  2009 192.787447724
48  2015 182.236110582
49  1994 199.173291382
50  2002 184.770127456
51  2001 180.850767209
52  2017 182.928947955
53  2018 197.271386673
54  2008 185.240384366
55  2001 186.38401219
56  2011 188.448932074
57  1990 196.47137196
58  1989 212.12496317
59  2013 197.428468059
60  2009 187.114937939
